id_flight,status_f,director_full_name,date_time_start,date_time_end,number_f,base_price,fk_id_truck,fk_id_worker,fk_id_city1,fk_id_city2,fk_id_driver1,fk_id_driver2,fk_id_customer
1,In progress,Rca Vnrnbmupw Uqddamnmizof,2022-04-12 10:04:15,2022-04-18 02:04:12,1,56568,7065,9733,2655,4927,7273,9583,1491
2,Canceled,Hhz Circud Osnntgwzkwb,2022-04-09 07:04:45,2022-04-21 07:04:57,2,77760,7871,5209,9947,341,6999,4854,6538
3,Done,Ylb Qxlepaoh Dlkiyd,2022-04-13 12:04:17,2022-04-22 02:04:29,3,96875,1459,1459,2578,9674,1050,7776,3145
4,Done,Rxem Vbzeapdp Ryervdbspudig,2022-04-05 12:04:31,2022-04-17 06:04:31,4,68454,667,5942,8270,1037,7796,2831,8965
5,In progress,Kerjyvfeple Alwlntisxfmfs Fprvqaizqncb,2022-04-10 06:04:24,2022-04-26 05:04:43,5,31168,1583,6436,6554,4421,4036,6848,7592
6,Done,Proqwyhyxm Sdhbni Termtith,2022-04-03 12:04:03,2022-04-16 09:04:03,6,65760,9021,9755,851,1472,681,3259,9785
7,Done,Idsdphowye Vutdyjomtkp Ooyvsq,2022-04-10 12:04:41,2022-04-28 09:04:38,7,44210,2694,106,4707,2557,295,2858,4540
8,Done,Vzatylgx Qybfwcmeowlqw Xdupxxdebjwhf,2022-04-13 11:04:30,2022-04-27 03:04:05,8,77857,8334,4010,8289,6304,8008,5226,4314
9,Canceled,Weoh Aq Yovonuxprdxsl,2022-04-04 11:04:53,2022-04-26 10:04:29,9,92270,9302,9518,3132,20,297,1292,3543
10,Canceled,Cxaesfrqvp Jdnzgie Reuy,2022-04-07 04:04:12,2022-04-28 08:04:20,10,56127,2763,2686,72,6038,4253,2784,2871
11,In progress,Quhqnmpwbkf Mjzqzr Kdalwdnfwh,2022-04-09 05:04:32,2022-04-23 05:04:28,11,69901,299,5745,5693,9107,6810,4420,6137
12,Done,Bwu Cdiefovn Wiqnsjeavzs,2022-04-06 12:04:48,2022-04-28 02:04:15,12,80716,1032,4447,1680,2606,4936,5291,5184
13,Done,Nxcx Kcsfnzoyqzs Btt,2022-04-10 10:04:51,2022-04-23 02:04:38,13,68910,1231,9563,714,6269,5599,577,3492
14,In progress,Ozxqvvde Jsoefs Yobwxlkvbxrar,2022-04-09 05:04:13,2022-04-17 05:04:53,14,74002,743,3036,2896,7977,8411,5520,5639
15,Canceled,Qm Zjszsoeasmfme Ltqyxy,2022-04-11 08:04:20,2022-04-26 03:04:45,15,33577,2132,9755,8871,7539,6268,3610,6283
16,Done,Ntlhccdwfuso Qjv Ai,2022-04-12 09:04:22,2022-04-19 09:04:53,16,32686,8574,3104,342,7898,8153,4239,3683
17,Canceled,Hosvufriuxcwj Bwhofqfadbud Zlsv,2022-04-05 01:04:49,2022-04-22 05:04:16,17,97443,2467,3329,7959,5509,2092,6384,3208
18,Canceled,Sxblhbynvqm Fcyciobyqw Jozauxuwuzad,2022-04-09 06:04:16,2022-04-20 04:04:17,18,90236,1299,6491,3926,2725,8485,5134,6163
19,Canceled,Jqdlektvrh Fvvdtnfeaes Rdusadvk,2022-04-09 12:04:23,2022-04-19 06:04:09,19,84456,4998,7214,3199,4194,8503,9416,4630
20,In progress,Bfmaemx Pcfng Qbdhkkhhmmep,2022-04-01 06:04:16,2022-04-17 02:04:24,20,85553,9436,7320,7583,3372,8645,4223,8124
21,Done,Fleorbmnitx Nkjyhjuijjy Bakgbs,2022-04-01 09:04:02,2022-04-28 08:04:04,21,30021,3727,6879,2028,6559,6561,3035,2902
22,Done,Xikfgzbnvcpc Jd Dxi,2022-04-12 05:04:45,2022-04-18 05:04:35,22,57630,182,5807,5392,8172,6405,1006,4318
23,In progress,Ognocghddng Lo Bgvvoork,2022-04-07 04:04:16,2022-04-26 08:04:06,23,72318,2565,6024,1995,6933,629,6898,8022
24,In progress,Aj Kluoefezgoxl Rhscxwu,2022-04-13 01:04:31,2022-04-19 10:04:11,24,42953,986,9860,7676,3668,2002,7047,1906
25,Done,Erbghv Lbhlryoxe Xauwmyudwtt,2022-04-01 05:04:16,2022-04-16 09:04:01,25,86662,5515,7775,7607,1283,4686,6095,9512
26,Done,Aph Qminb Sbyfihaxzsp,2022-04-09 01:04:11,2022-04-28 10:04:55,26,75124,1018,3715,251,9270,5015,6855,401
27,In progress,Dyjjrku Grtdvtzqvmih Fcjr,2022-04-03 04:04:33,2022-04-22 01:04:16,27,84023,3573,9642,4688,9258,9985,8382,7939
28,Done,Qbpzcavzlyo Xghpafiy Ewnscqdlq,2022-04-10 11:04:46,2022-04-18 12:04:57,28,63959,5977,4982,4401,9080,7848,4730,2102
29,Done,Ujhzjwgwx Jeucghzwpbk Ts,2022-04-01 07:04:39,2022-04-29 12:04:49,29,88186,5226,7352,9051,803,9999,3512,3677
